,G,T1,T2,T3,T4,T5,T6,T7,T8,T9
0,46.643.700.787.401.500,400.0,3.983.025.578,3.968.496.787,3.956.347.286,39.465.052,3.938.911.567,393.352.043,393.029.891,3.929.227.264
1,7.894.173.228.346.450,400.0,4.020.699.525,4.038.297.785,4.052.957.774,4.064.797.818,4.073.912.042,4.080.372.052,4.084.228.165,4.085.510.237
2,618.755.905.511.811,400.0,4.000.439.482,4.000.798.806,4.001.098.757,4.001.341.403,4.001.528.415,4.001.661.083,400.174.032,4.001.766.672
3,3.338.267.716.535.430,400.0,396.835.856,3.941.241.355,3.918.531.771,3.900.113.531,3.885.890.059,3.875.785.331,3.869.744.547,3.867.734.637
4,523.496.062.992.126,400.0,3.989.476.673,3.980.470.748,397.294.456,3.966.850.886,3.962.151.199,3.958.815.597,3.956.822.753,3.956.159.891
5,720.755.905.511.811,400.0,4.012.451.144,4.023.041.922,4.031.871.894,4.039.008.054,4.044.504.047,4.048.400.895,4.050.727.533,4.051.501.175
6,10.003.149.606.299.200,400.0,3.943.569.247,3.895.080.196,3.854.374.312,3.821.295.298,37.957.105,3.777.513.634,3.766.627.059,3.763.003.492
7,691.007.874.015.748,400.0,4.008.918.375,4.016.503.243,402.282.935,4.027.943.392,403.188.287,4.034.676.522,4.036.344.655,4.036.899.361
8,1.591.732.283.464.560,400.0,3.949.714.682,3.906.534.622,3.870.306.988,3.840.881.472,3.818.131.194,3.801.954.952,3.792.279.067,3.789.058.776
9,269.996.062.992.126,400.0,3.961.457.588,392.840.256,3.900.701.441,3.878.222.509,3.860.855.707,3.848.513.981,3.841.134.355,3.838.678.729
10,9.426.811.023.622.040,400.0,4.039.596.526,4.073.191.017,4.101.121.998,4.123.646.537,4.140.966.099,4.153.232.181,416.055.034,4.162.982.864
11,4.572.677.165.354.330,400.0,3.981.996.852,3.966.586.555,3.953.698.577,3.943.257.403,3.935.201.032,3.929.481.108,3.926.063.016,3.924.925.963
12,9.785.157.480.314.960,400.0,404.411.357,4.081.519.598,4.112.605.043,4.137.664.552,415.692.823,4.170.568.644,4.178.705.791,4.181.410.387
13,8.011.889.763.779.520,400.0,4.022.127.018,4.040.936.473,4.056.603.133,406.925.477,4.078.992.912,4.085.894.725,4.090.014.397,4.091.384.071
